Word,Language,Translated Word,Final Audio Text
"Hello, how are you",russian,"Привет, как дела","Hey, do you know how to pronounce Hello, how are you in russian? It goes like, Привет, как дела Follow us, for more such content!"
What time is it,russian,Который час,"Hey, do you know how to pronounce What time is it in russian? It goes like, Который час Follow us, for more such content!"
Can you help me,russian,Can you help me.,"Hey, do you know how to pronounce Can you help me in russian? It goes like, Can you help me. Follow us, for more such content!"
I love you.,russian,И я тебя. ,"Hey, do you know how to pronounce I love you. in russian? It goes like, И я тебя.  Follow us, for more such content!"
Thank you very much.,russian,&amp;,"Hey, do you know how to pronounce Thank you very much. in russian? It goes like, &amp; Follow us, for more such content!"
Where are you from,russian,Вы откуда,"Hey, do you know how to pronounce Where are you from in russian? It goes like, Вы откуда Follow us, for more such content!"
I'm sorry.,russian,Извиняюсь.,"Hey, do you know how to pronounce I'm sorry. in russian? It goes like, Извиняюсь. Follow us, for more such content!"
"Excuse me, where is the restroom",russian,"Извините, где туалет","Hey, do you know how to pronounce Excuse me, where is the restroom in russian? It goes like, Извините, где туалет Follow us, for more such content!"
Have a nice day,russian,Хорошего дня,"Hey, do you know how to pronounce Have a nice day in russian? It goes like, Хорошего дня Follow us, for more such content!"
"Goodbye, see you later.",russian,"до свидания, увидимся позже","Hey, do you know how to pronounce Goodbye, see you later. in russian? It goes like, до свидания, увидимся позже Follow us, for more such content!"
